OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CL_2V_2A
100,75,50,100,0,0,0,100,0,0.25,0.25,50,825,1
80,18.88169371,5,74.37742114,16.76812396,8.854454898,0.322609985,71.48829017,0.3132326,2.734366353,3,175,1100,1
60,22.65314054,4,85.52915767,0,14.47084233,0.176,40,0.299,0.74838013,1,175,1100,0
80,0.5,4,74.37742114,16.76812396,8.854454898,0.3,40,0.3,2.734366353,1.2,125,1100,1
56,2,25,85.52915767,0,14.47084233,0.41609371,61.73340883,0.303549883,2.138228942,0.8,175,1100,0
80,107.2756895,25,85.52915767,0,14.47084233,1,100,1,0.348205152,0.55759543,184.4523983,1100,0
80,41.16415899,14.76826673,85.52915767,0,14.47084233,0.18,40,0.435176247,0.940820734,0.5,175,1100,0
120,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,960.7222459,0
80,3,1,38.48805,0,17.7521,0.142857143,40,0.333,0.288660375,0.2,50,1100,1
30,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,1
80,40,3.645,85.71428571,0,14.28571429,0.583695267,40,0.477445702,0.857142857,0.5,175,1100,0
70,3.634025044,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0
60,270,44.4178097,85.52915767,0,14.47084233,1.589274889,63.70239129,1.46078364,0.256587473,0.5,175,1100,0
90,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1
80,75,50,100,0,0,0,100,0,0.25,0.25,50,825,1
80,4,5,74.37742114,16.76812396,8.854454898,0.188042222,30,0.329494887,0.34,0.1,90,1000,1
80,50,5,100,0,0,0.33,70,0.33,1.5,0.57,125,1100,1
80,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,70,206.185567,1
60,1800,160,100,0,0,0.4,40,0.6,1.5,0.4,125,1100,1
80,2,5.14045926,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1092.791857,0
100,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,120,918.6766929,1
25,63,4,74.37742114,16.76812396,8.854454898,0.73255738,10,0.8805082,2.319046959,0.352136828,125,1100,0
80,6,1,100,0,0,0.197204645,0,1.096392145,2,0,125,1100,0
30,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,1
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,3,125,1100,0
100,75,50,100,0,0,0,100,0,1,0.25,50,825,1
80,3.33,6.25,84.5,0,15.5,0.24,45.01864041,0.428571429,1.69,2,125,1100,1
60,100,5.29,100,0,0,0,100,3,0.55,0.5,175,1100,0
80,25,17.64,85.52915767,0,14.47084233,0.286056419,57.86464151,0.231387366,2.25,0.8,175,1100,1
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1
80,25,17.64,85.52915767,0,14.47084233,0.176470588,60,0.176470588,1.881641469,0.8,175,1100,1
80,7,4,0,23.83808219,22.38354235,0.289822109,40,0.285806842,0.715142466,0.6,125,1100,0
80,34.05213489,4,100,0,0,0.3333,70,0.3333,0.873,0.7,50,1100,1
60,40,2.89,85.52915767,0,14.47084233,1.07748381,40,1.377804373,0.27,0.5,175,1100,0
30,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1
80,40,3.645,85.52915767,0,14.47084233,0.402491773,40,0.457914718,2.138228942,0.5,175,1100,0
80,40,2.89,85.52915767,0,14.47084233,0.331638452,40,0.53927078,0.27,0.5,175,1100,1
80,164.0100052,63.49363399,90.5,0,0,1.262861313,100,3.166666667,0.1,0.64527732,118.983882,1100,1
80,1,5,74.37742114,16.76812396,8.854454898,0.2,40,0.39,0.34,0.1,90,980,1
90,12.19259037,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,1
20,40,5,74.37742114,16.76812396,8.854454898,0.53281198,100,1.035837366,2.734366353,3,125,1100,0
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,1
80,1.5,5,40,0,0,0.285472473,46,0.554027878,0.4,0.184,50,1100,1
60,40,4.5,85.52915767,0,14.47084233,3,20,10,2,0.05,50,1100,0
30,6.795267144,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,1
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,1
80,300,25,85.52915767,0,14.47084233,0.8,47,0.2385,0.1,0.1,175,1100,1
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,1
80,4.819154086,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1
80,50,4,85.52915767,0,14.47084233,0.33,40,0.33,2.56587473,0.5,50,1100,1
80,50,5,85.52915767,0,14.47084233,0.33,70,0.33,1.282937365,0.57,125,1100,1
80,2,5,85.52915767,0,14.47084233,0.5,50,0.5,2,0.3,120,870,1
90,4,5,85.52915767,0,14.47084233,0.25,30,0.5,1.282937365,0.5,125,1100,1
80,32.01683061,4,85.52915767,0,14.47084233,0.3333,70,0.3333,0.063377106,0.7,50,1100,1
60,270,50.71720836,85.52915767,0,14.47084233,1.593259687,66.99216329,1.396445589,0.256587473,0.5,175,1100,0
60,95,63.5,85.52915767,0,14.47084233,0.15,40,0.2,0.855291577,0.6,175,1100,0
80,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,1
90,15,4,85.52915767,0,14.47084233,0.095239255,46,0.36631045,0.085529158,0.4,50,1100,1
80,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,1
80,40,3.645,34.61,48.47,16.92,0.409308137,40,0.430455139,2.077,0.5,175,1100,1
25,29.54840386,1,85.73,0,14.27,0.176470588,20,0.176470588,1.7146,0.5,125,1100,0
90,126.4379627,8,85.52915767,0,14.47084233,0.052631579,40,9.375,1.710583153,0.96,125,1100,0
80,40,5,85.52915767,0,14.47084233,0.67,40,0.67,0.2,0.5,125,1100,0
40,60,25,0,60.3,23.9,0.649367093,30,0.360181846,3,0.7,125,1100,0
90,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,1
90,19.87949333,6.397091281,100,0,0,0.612525952,0,0.883526064,2.4,0,113.5778551,1100,1
22,0.166666667,5,74.37742114,16.76812396,8.854454898,0.25,100,0.25,2.734366353,0.5,125,1100,0
80,10,20,100,0,0,0.667,100,0.428571429,1.5,1,88,1100,1
80,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1
