OT,FR,AA,IR,RU,O,ICA,PT,ICC,AL,CL,MT,EW,CD17
80,5,5,75,0,16.70138496,0.131221719,46.7,0.6,2,0.35,50,1100,2.7161
90,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,2.05341
120,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,2.114
130,37.68568939,4,85.52915767,0,14.47084233,0.176470588,100,0.176470588,0.769762419,0.5,175,1100,0.40335
80,4,5,74.37742114,16.76812396,8.854454898,0.185237449,30,0.346548768,0.34,0.1,90,1000,1.61354
80,25,17.64,85.52915767,0,14.47084233,0.293560947,59.00710904,0.236309593,2.25,0.8,175,1100,1.10756
90,15,1.21,85.52915767,0,14.47084233,0,46.5,0.428571429,0.085529158,0.02,50,1100,0.73636
80,75,50,100,0,0,0,100,0,0.25,0.25,50,825,2.73982
80,18.97781722,8,85.52915767,0,14.47084233,0.052631579,20,0.321849894,0.940820734,0.309063001,50,1100,1.3916
120,15,6.25,85.52915767,0,14.47084233,0,46.5,0.430129594,0.885714298,0.4,50,1100,1.14013
80,1.5,5,40,0,12.7397,0.25658492,46,0.533679577,0.4,0.184,50,1100,1.12311
80,25,17.64,85.52915767,0,14.47084233,0.203403821,60.94810444,0.153760734,2.25,0.8,175,1100,0.87466
50,2,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.5,0.4,120,870,1.20092
80,50,5,64.37977662,0,16.01486981,0.33,70,0.33,0.965696649,0.57,125,1100,1.40145
60,270,46.628956,85.52915767,0,14.47084233,1.664678144,63.55320148,1.524590647,0.256587473,0.5,175,1100,0.51455
80,6,1,100,0,0,0.425549591,0,1.21601819,2,0,125,1100,0.28044
80,9.267659843,1,51.317496,0,24.702,0.176470588,20,0.176470588,1.02634992,0.5,125,1100,0.67375
70,60,25,0,75.66401816,24.33598184,1.125104047,0,0.976247596,2.269920545,0.7,125,1100,0.15642
90,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,2.98378
80,4,5,85.52915767,0,14.47084233,0.25,30,0.5,1.282937365,0.5,125,1100,1.294
90,19.6163843,8,85.52915767,0,14.47084233,0.052631579,20,0.25,1.710583153,0.4,125,1100,0.99087
100,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,70,206.185567,1.021
80,5,5,75,0,16.57390417,0.131221719,46.7,0.6,2,0.35,50,1100,1.91569
80,16.57453349,1,34.2857,0,18.454,0.176470588,20,0.176470588,0.685714,0.5,125,1100,0.1941
55,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1.16612
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1.96945
35,3,1,42.76457883,0,17.851,0.33,40,0.33,0.320734341,0.2,50,1100,0.11917
22,0.166666667,5,74.37742114,16.76812396,8.854454898,0.25,0,0.25,2.734366353,0,125,1100,0.019
50,60,25,0,75.66401816,24.33598184,1.108970229,0,0.947266894,2.269920545,0.7,125,1100,0.3153
20,20,5,74.37742114,16.76812396,8.854454898,0.225125144,100,0.4166106,2.734366353,3,125,1100,0.52438
80,4,11.24049197,25.6587473,0,32.341,0.5,30,0.5,0.256587473,1,125,1100,0.16871
80,40,3.645,57.84506658,0,9.631203586,0.33,40,0.33,2.5,0.5,175,1100,0.341
75,10,20,100,0,0,0.667,100,0.428571429,1.5,1,88,1100,1.00487
80,233.5519686,55.55647342,85.52915767,0,14.47084233,1.128877212,100,3.166666667,0.1,0.737582154,194.3525803,1100,0.76703
90,126.4379627,8,85.52915767,0,14.47084233,0.052631579,40,9.375,1.710583153,0.96,125,1100,0.83231
100,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1.02
60,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,1.13726
50,12.79225342,5,85.52915767,0,14.47084233,0.25,40,0.5,0.4,0.1,90,980,0.94954
60,25,4,85.52915767,0,14.47084233,0.15,40,0.2,0.641468683,0.6,175,1100,0.56217
50,3.343019649,5,74.37742114,16.76812396,8.854454898,0.176,30,0.333,0.36458218,0.1,90,980,1.39652
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.1,90,1000,1.94566
80,3.333333333,25,85.52915767,0,14.47084233,0.11,46,0.35,0.273693305,0.25,125,1100,0.75118
80,201.9482085,50,85.52915767,0,14.47084233,0.859194778,100,4.55949173,4,4,254,1100,0.36549
80,179.253238,67.42374679,93.6,0,0,1.335046695,100,3.166666667,0.1,0.680885379,131.7718913,1100,1.38632
80,109.4797653,50,32.57142857,0,30.26987009,0.709577908,61.15418245,1.292839834,0.651428571,0.4,125,1100,1.55214
30,1,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,1.5,0.1,90,980,0.80371
35,3,1,42.76457883,0,17.851,0.33,40,0.33,0.320734341,0.2,50,1100,0.06963
80,60,25,0,60.3,23.9,0.533299699,30,0.352105292,3,0.7,125,1100,0.10383
80,11.90362243,8,17.14285714,0,13.09596686,0.052631579,20,0.307677958,0.019885714,0.307702064,50,1100,1.87139
80,5,5,75,0,17.61955664,0.25,45.8,0.25,1.75,0.2,50,1100,2.39232
80,50,4,85.52915767,0,14.47084233,0,20,0.428571429,0.38,0.2,50,1100,2.48546
80,5.411068459,4,100,0,0,0.15,20,0.5,5,0.3,125,1100,1.08524
50,100,5.29,100,0,0,0,100,3,0.55,0.5,175,1100,0.13779407
22,0.166666667,5,74.37742114,16.76812396,8.854454898,0.25,100,0.25,2.734366353,0.5,125,1100,0.194
70,4,5,44.62645268,10.06087438,5.312672939,0.176470588,40,0.388888889,0.4,0.1,50,980,1.58664
80,20,5,74.37742114,16.76812396,8.854454898,0,100,0,2.734366353,0.2,125,1100,1.31517
80,5,5,75,0,16.58175292,0.131221719,46.7,0.6,2,0.35,50,1100,2.08541
100,75,50,100,0,0,0,100,0,0.375,0.25,50,825,2.18713
60,100,5.29,100,0,0,2.727272727,100,3,0.55,0.5,175,1100,0.86804489
80,60,25,0,75.66401816,24.33598184,1.370227109,0,1.32614018,2.269920545,0.7,125,1100,0.46681
80,40,4,85.52915767,0,14.47084233,0.22,60,1,1.282937365,0.3,125,1100,0.89436
80,20,5,74.37742114,16.76812396,8.854454898,0.16460804,100,0.128906863,2.734366353,3,125,1100,1.86226
80,4,5,74.37742114,16.76812396,8.854454898,0.181193633,30,0.32487551,0.34,0.1,90,1000,1.60148
120,2,5,85.52915767,0,14.47084233,0.5,30,0.5,4.276457883,0.8,125,1100,0.41766
30,9.112791211,11.00729383,80.595,0,19.4,0.517101628,30,0.326398069,1.6119,0.6,145.4483226,1100,0.39301
40,20,25,100,0,0,0.26887693,100,0.187223176,1,0.3,121.633866,1100,0.402
80,60,25,0,75.66401816,24.33598184,1.153445715,0,0.960814465,2.269920545,0.7,125,1100,0.18239
30,10,20,20,0,0,0.428571429,100,0.428571429,0.3,1,88,1100,0.49601
60,270,51.83117186,85.52915767,0,14.47084233,1.882657881,61.06389396,1.808704345,0.256587473,0.5,175,1100,0.61496
60,270,45.42261772,85.52915767,0,14.47084233,2.281361303,60.9980463,1.796126311,0.256587473,0.5,175,1100,0.56638
80,50,25,85.73,0,14.27,0.33,60,0.25,0.05,0.8,175,1100,1.014
110,41.50255422,4,85.52915767,0,14.47084233,0.176470588,100,0.176470588,0.769762419,0.5,175,1100,0.343
80,40,3.645,66.86367932,0,11.13280261,0.33,40,0.33,2.5,0.5,175,1100,0.378
80,25,17.64,85.52915767,0,14.47084233,0.392512756,58.91114485,0.280061335,2.25,0.8,175,1100,1.01284
60,270,47.54916178,85.52915767,0,14.47084233,1.629301042,64.40594124,1.510509545,0.256587473,0.5,175,1100,0.60718
80,1.5,5,40,0,0,0.285472473,46,0.554027878,0.4,0.184,50,1100,1.05437
80,14.93631308,1,85.73,0,14.27,0.176470588,20,0.176470588,1.7146,0.5,125,1100,0.87473
80,219.4653072,82.68568154,94.5,0,0,1.298759141,100,3.166666667,0.1,0.703173093,158.3697046,1100,0.9908
50,9.884736133,5,100,0,0,0.25,40,0.5,0.4,0.1,90,980,0.49764
40,50,4,85.52915767,0,14.47084233,0.052631579,20,0.428571429,0.38,0.2,50,1100,1.50892
80,1.5,5,100,0,0,0.374007744,46,0.624647855,1,0.184,50,1100,0.54925
80,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,0.36458218,0.1,90,1000,1.60895
90,4,5,74.37742114,16.76812396,8.854454898,0.25,30,0.5,1.367183177,0.5,125,1100,1.84
50,4,5,74.37742114,16.76812396,8.854454898,0.2,30,0.3,1.367183177,0.5,90,1000,1.13482
80,5,5,75,0,16.54944357,0.040582726,46.7,0.6,2,0.35,50,1100,2.50117
40,100,5.29,100,0,0,2.727272727,100,3,0.55,0.5,175,1100,0.60731903
80,192.1973963,50,85.52915767,0,14.47084233,0.806166095,100,4.847154112,4,4,254,1100,0.34902
90,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1.776
25,18.18052287,5,85.52915767,0,14.47084233,0.111111111,46.1,0.369863014,2.138228942,0.4,125,1100,0.14265
80,300,25,85.52915767,0,14.47084233,0.2,47,0.2385,0.1,0.1,175,1100,1.31836
80,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1.498
80,4,5,74.37742114,16.76812396,8.854454898,0.176470588,40,0.388888889,0.3,0.1,50,980,1.949
90,3.33,6.25,85.52915767,0,14.47084233,0.5,40,0.5,1.710583153,2,120,870,1.02
