,Operating Temperature (℃),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (μm),EW,Current at 2.0 V
192,70.0,4.0,5.0,44.62645268,10.06087438,5.312672939,0.176470588,40.0,0.388888889,0.4,0.1,50.0,980.0,5.22751
23,100.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.25,0.25,50.0,825.0,7.12536
357,80.0,3.333333333,25.0,85.52915767,0.0,14.47084233,0.11,46.0,0.35,0.607257019,0.25,125.0,1100.0,2.36018
355,80.0,3.333333333,25.0,85.52915767,0.0,14.47084233,0.11,46.0,0.35,0.273693305,0.25,125.0,1100.0,1.91488
250,80.0,3.0,1.0,64.11,0.0,16.02,0.20596053,40.0,0.340993866,0.6411,0.2,50.0,1100.0,5.2552
56,80.0,50.0,4.0,85.52915767,0.0,14.47084233,0.33,40.0,0.33,3.421166307,1.0,50.0,1100.0,4.5222
492,40.0,20.0,5.0,74.37742114,16.76812396,8.854454898,0.255159189,100.0,0.354998409,2.734366353,3.0,125.0,1100.0,2.33383
536,60.0,270.0,45.3593416,85.52915767,0.0,14.47084233,2.253014729,57.95189289,1.693547103,0.256587473,0.5,175.0,1100.0,1.05921
5,80.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.5,0.25,125.0,1100.0,3.44546
329,80.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.25,30.0,0.5,1.367183177,0.5,105.0,1031.0,3.029
170,90.0,0.527671846,3.549686161,22.69920545,27.36933045,20.0014641,0.336612078,30.0,0.433214556,1.001370718,0.6,121.7392955,1100.0,2.51459
459,70.0,4.0,5.0,74.37742114,16.76812396,8.854454898,0.2,30.0,0.3,0.36458218,0.1,90.0,1000.0,4.12402
489,80.0,34.05213489,4.0,100.0,0.0,0.0,0.3333,70.0,0.3333,0.873,0.7,50.0,1100.0,3.50135
103,55.0,131.8694592,120.0,100.0,0.0,0.0,0.492142612,100.0,3.362664391,1.0,0.9,125.0,1100.0,2.12659
92,25.0,63.0,4.0,74.37742114,16.76812396,8.854454898,0.73255738,10.0,0.8805082,2.319046959,0.352136828,125.0,1100.0,0.04051375
21,100.0,75.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.25,0.25,50.0,825.0,0.66088
69,60.0,10.0,20.0,100.0,0.0,0.0,0.667,100.0,0.428571429,1.5,1.0,88.0,1100.0,2.18379
553,80.0,300.0,25.0,85.52915767,0.0,14.47084233,0.6,47.0,0.2385,0.1,0.1,175.0,1100.0,2.47087
