"rules","support","confidence","coverage","lift","count"
"{30<TEMP<=40} => {PRESS=1}",0.0397236614853195,0.793103448275862,0.0500863557858376,0.929568616501466,23
"{ICA>1.5} => {50<TEMP<=60}",0.0328151986183074,0.633333333333333,0.0518134715025907,4.52716049382716,19
"{50<TEMP<=60} => {ICA>1.5}",0.0328151986183074,0.234567901234568,0.139896373056995,4.52716049382716,19
"{ICA>1.5} => {AL<=0.25}",0.0310880829015544,0.6,0.0518134715025907,3.65684210526316,18
"{ICA>1.5} => {125<MEMBRANE<=175}",0.0431778929188256,0.833333333333333,0.0518134715025907,3.47122302158273,25
"{ICA>1.5} => {0.25<CL<=0.5}",0.0397236614853195,0.766666666666667,0.0518134715025907,2.3,23
"{ICA>1.5} => {85<IR<100}",0.0397236614853195,0.766666666666667,0.0518134715025907,1.78991935483871,23
"{ICA>1.5} => {DISQUALIFIED}",0.0500863557858377,0.966666666666667,0.0518134715025907,2.2388,29
"{ICA>1.5} => {FR>24}",0.0518134715025907,1,0.0518134715025907,2.30677290836653,30
"{ICA>1.5} => {0<O<=15}",0.0414507772020725,0.8,0.0518134715025907,1.25869565217391,24
"{ICA>1.5} => {RU FREE}",0.0518134715025907,1,0.0518134715025907,1.39518072289157,30
"{ICA>1.5} => {1000<EW<=1100}",0.0518134715025907,1,0.0518134715025907,1.32494279176201,30
